+-----------------+-------------+----------------+------------------------+
| Количество эпох | Размер окна | Норма обучения |    Суммарная ошибка    |
|      16000      |      3      |      0,05      |   2,5004691994489403   |
|      16000      |      3      |      0,1       |   1,5773332236656377   |
|      16000      |      3      |      0,15      |  0,47635444164489393   |
|      16000      |      3      |      0,2       |  0,27478317552771725   |
|      16000      |      3      |      0,25      |  0,12682949812461172   |
|      16000      |      3      |      0,3       |  0,027248053294446947  |
|      16000      |      3      |      0,35      |   0,0284155004186698   |
|      16000      |      3      |      0,4       |  0,01985759059646285   |
|      16000      |      3      |      0,45      |  0,008513719059643446  |
|      16000      |      3      |      0,5       |  0,010163865647196854  |
|      16000      |      3      |      0,55      |  0,006227624290142515  |
|      16000      |      3      |      0,6       |  0,005642357581957578  |
|      16000      |      3      |      0,65      |  0,005371518231689011  |
|      16000      |      3      |      0,7       |  0,003969408295718183  |
|      16000      |      3      |      0,75      |  0,004173091287060282  |
|      16000      |      3      |      0,8       | 0,0020880505239010607  |
|      16000      |      3      |      0,85      |  0,002632150503253726  |
|      16000      |      3      |      0,9       | 0,0035467018969751385  |
|      16000      |      3      |      0,95      | 0,0020389329473138504  |
|      16000      |      3      |      1,0       |  0,00173151802611341   |
|      16000      |      4      |      0,05      |   1,117728004502196    |
|      16000      |      4      |      0,1       |  0,19177045433770826   |
|      16000      |      4      |      0,15      |  0,02875670822221945   |
|      16000      |      4      |      0,2       |  0,005857180251788512  |
|      16000      |      4      |      0,25      | 0,0023942688675540036  |
|      16000      |      4      |      0,3       | 0,0007074056851966802  |
|      16000      |      4      |      0,35      | 0,0002084932720342212  |
|      16000      |      4      |      0,4       | 0,00017841316588593976 |
|      16000      |      4      |      0,45      | 6,147420732665724e-05  |
|      16000      |      4      |      0,5       |  5,05197420778177e-05  |
|      16000      |      4      |      0,55      | 1,822238312326384e-05  |
|      16000      |      4      |      0,6       | 1,594041275787692e-05  |
|      16000      |      4      |      0,65      | 1,4586723858162455e-05 |
|      16000      |      4      |      0,7       | 1,0577625151356756e-05 |
|      16000      |      4      |      0,75      | 4,901812343595739e-06  |
|      16000      |      4      |      0,8       | 5,491875832737948e-06  |
|      16000      |      4      |      0,85      | 3,1632462179678155e-06 |
|      16000      |      4      |      0,9       | 2,474234948339706e-06  |
|      16000      |      4      |      0,95      | 3,976885601682857e-06  |
|      16000      |      4      |      1,0       | 3,0827003817011025e-06 |
|      16000      |      5      |      0,05      |   0,4921620618829852   |
|      16000      |      5      |      0,1       |  0,02613725671325948   |
|      16000      |      5      |      0,15      | 0,0025487111431206945  |
|      16000      |      5      |      0,2       | 0,0001995057965192135  |
|      16000      |      5      |      0,25      | 2,2617792385736277e-05 |
|      16000      |      5      |      0,3       | 8,464172417418795e-06  |
|      16000      |      5      |      0,35      | 4,590300632935505e-06  |
|      16000      |      5      |      0,4       | 5,761507124335693e-07  |
|      16000      |      5      |      0,45      | 5,515977842245632e-07  |
|      16000      |      5      |      0,5       | 2,2253515180362584e-07 |
|      16000      |      5      |      0,55      | 1,651565862802084e-07  |
|      16000      |      5      |      0,6       |  5,71493986792803e-08  |
|      16000      |      5      |      0,65      |  5,27573199787086e-08  |
|      16000      |      5      |      0,7       | 3,6601690275270395e-08 |
|      16000      |      5      |      0,75      | 1,5603033264482297e-08 |
|      16000      |      5      |      0,8       | 1,2559983940584691e-08 |
|      16000      |      5      |      0,85      | 1,1070241668366979e-08 |
|      16000      |      5      |      0,9       | 5,8382318543735944e-09 |
|      16000      |      5      |      0,95      | 8,501273013965096e-09  |
|      16000      |      5      |      1,0       | 7,994856662648509e-07  |
|      16000      |      6      |      0,05      |   0,5434396609540302   |
|      16000      |      6      |      0,1       |  0,010740843281212276  |
|      16000      |      6      |      0,15      | 0,0003711963426269539  |
|      16000      |      6      |      0,2       | 1,732200056985954e-05  |
|      16000      |      6      |      0,25      | 9,761305713780474e-07  |
|      16000      |      6      |      0,3       | 2,253239392480332e-07  |
|      16000      |      6      |      0,35      | 1,0247784568660707e-07 |
|      16000      |      6      |      0,4       | 3,886288976137178e-08  |
|      16000      |      6      |      0,45      | 2,910555110509982e-08  |
|      16000      |      6      |      0,5       | 7,229324857615627e-09  |
|      16000      |      6      |      0,55      | 7,366663542760596e-09  |
|      16000      |      6      |      0,6       | 1,0745964360122291e-09 |
|      16000      |      6      |      0,65      | 1,4889119319151157e-09 |
|      16000      |      6      |      0,7       | 1,2562420008265656e-09 |
|      16000      |      6      |      0,75      | 2,307380823847082e-10  |
|      16000      |      6      |      0,8       | 1,3178663998603778e-10 |
|      16000      |      6      |      0,85      | 1,3728641353834407e-10 |
|      16000      |      6      |      0,9       | 3,822516052313077e-13  |
|      16000      |      6      |      0,95      | 8,680071964309788e-13  |
|      16000      |      6      |      1,0       |          nan           |
|      16000      |      7      |      0,05      |   0,4438849475052729   |
|      16000      |      7      |      0,1       |  0,007972690443251936  |
|      16000      |      7      |      0,15      | 0,00022151256098935525 |
|      16000      |      7      |      0,2       |  4,50554110102519e-06  |
|      16000      |      7      |      0,25      | 3,933707603117714e-07  |
|      16000      |      7      |      0,3       | 1,9509279140593553e-07 |
|      16000      |      7      |      0,35      | 3,642811298023233e-08  |
|      16000      |      7      |      0,4       | 8,581103334792928e-09  |
|      16000      |      7      |      0,45      | 3,811479172167432e-09  |
|      16000      |      7      |      0,5       | 3,993071358693118e-09  |
|      16000      |      7      |      0,55      | 1,3497770671691175e-09 |
|      16000      |      7      |      0,6       | 3,6680100887884707e-10 |
|      16000      |      7      |      0,65      | 1,9625136664995057e-10 |
|      16000      |      7      |      0,7       | 1,8196414514068625e-10 |
|      16000      |      7      |      0,75      | 9,683999803164463e-11  |
|      16000      |      7      |      0,8       | 1,2181557138151783e-10 |
|      16000      |      7      |      0,85      | 2,5854358901731228e-06 |
|      16000      |      7      |      0,9       |          nan           |
|      16000      |      7      |      0,95      |          nan           |
|      16000      |      7      |      1,0       |          nan           |
|      16000      |      8      |      0,05      |   0,2451641940029943   |
|      16000      |      8      |      0,1       |  0,007267431739664509  |
|      16000      |      8      |      0,15      |  0,000158027624840724  |
|      16000      |      8      |      0,2       | 1,3932175242484394e-05 |
|      16000      |      8      |      0,25      | 2,1607733513446722e-06 |
|      16000      |      8      |      0,3       | 1,332477828589254e-07  |
|      16000      |      8      |      0,35      | 6,192191199892276e-08  |
|      16000      |      8      |      0,4       | 1,3737447515713961e-08 |
|      16000      |      8      |      0,45      | 4,758441892440173e-09  |
|      16000      |      8      |      0,5       | 5,6596664573434045e-09 |
|      16000      |      8      |      0,55      | 1,965368814071574e-09  |
|      16000      |      8      |      0,6       | 1,2722010984404785e-09 |
|      16000      |      8      |      0,65      | 5,840791091393876e-10  |
|      16000      |      8      |      0,7       |  3,16365511119645e-10  |
|      16000      |      8      |      0,75      | 1,868389410010152e-13  |
|      16000      |      8      |      0,8       | 5,869099172707484e-13  |
|      16000      |      8      |      0,85      |          nan           |
|      16000      |      8      |      0,9       |          nan           |
|      16000      |      8      |      0,95      |          nan           |
|      16000      |      8      |      1,0       |          nan           |
|      14000      |      2      |      0,05      |   3,2332957658838772   |
|      14000      |      2      |      0,1       |   2,625718605184164    |
|      14000      |      2      |      0,15      |   2,1859937732365573   |
|      14000      |      2      |      0,2       |   2,128560724412177    |
|      14000      |      2      |      0,25      |   1,9458612931106023   |
|      14000      |      2      |      0,3       |   1,6779045142247495   |
|      14000      |      2      |      0,35      |   1,3715768590949327   |
|      14000      |      2      |      0,4       |   1,4174263208877913   |
|      14000      |      2      |      0,45      |   1,3094802573883633   |
|      14000      |      2      |      0,5       |   1,2030859100495415   |
|      14000      |      2      |      0,55      |   1,1247728523926348   |
|      14000      |      2      |      0,6       |   1,1007125730795024   |
|      14000      |      2      |      0,65      |    0,99093103895062    |
|      14000      |      2      |      0,7       |   0,8072912444325764   |
|      14000      |      2      |      0,75      |   0,9711723394922464   |
|      14000      |      2      |      0,8       |   0,8807733817115877   |
|      14000      |      2      |      0,85      |   0,7181628559075834   |
|      14000      |      2      |      0,9       |   0,8130216943821025   |
