+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
|      18000      |      7      |      0.7       |       0.0        |
|      18000      |      7      |      0.75      |       0.0        |
|      18000      |      7      |      0.8       |       0.0        |
|      18000      |      7      |      0.85      |       0.0        |
|      18000      |      7      |      0.9       |       nan        |
|      18000      |      7      |      0.95      |       nan        |
|      18000      |      8      |      0.05      |      0.1892      |
|      18000      |      8      |      0.1       |      0.0021      |
|      18000      |      8      |      0.15      |       0.0        |
|      18000      |      8      |      0.2       |       0.0        |
|      18000      |      8      |      0.25      |       0.0        |
|      18000      |      8      |      0.3       |       0.0        |
|      18000      |      8      |      0.35      |       0.0        |
|      18000      |      8      |      0.4       |       0.0        |
|      18000      |      8      |      0.45      |       0.0        |
|      18000      |      8      |      0.5       |       0.0        |
|      18000      |      8      |      0.55      |       0.0        |
|      18000      |      8      |      0.6       |       0.0        |
|      18000      |      8      |      0.65      |       0.0        |
|      18000      |      8      |      0.7       |       0.0        |
|      18000      |      8      |      0.75      |       0.0        |
|      18000      |      8      |      0.8       |       0.0        |
|      18000      |      8      |      0.85      |       nan        |
|      18000      |      8      |      0.9       |       nan        |
|      18000      |      8      |      0.95      |       nan        |
|      16000      |      2      |      0.05      |      3.1102      |
|      16000      |      2      |      0.1       |      2.6768      |
|      16000      |      2      |      0.15      |      2.2508      |
|      16000      |      2      |      0.2       |      1.9602      |
|      16000      |      2      |      0.25      |      1.7347      |
|      16000      |      2      |      0.3       |      1.411       |
|      16000      |      2      |      0.35      |      1.1505      |
|      16000      |      2      |      0.4       |      1.0441      |
|      16000      |      2      |      0.45      |      1.0875      |
|      16000      |      2      |      0.5       |      0.9355      |
|      16000      |      2      |      0.55      |      0.796       |
|      16000      |      2      |      0.6       |      0.7737      |
|      16000      |      2      |      0.65      |      0.9036      |
|      16000      |      2      |      0.7       |      0.8073      |
|      16000      |      2      |      0.75      |      0.7076      |
|      16000      |      2      |      0.8       |      0.8065      |
|      16000      |      2      |      0.85      |      0.7922      |
|      16000      |      2      |      0.9       |      0.5565      |
|      16000      |      2      |      0.95      |      0.6032      |
|      16000      |      3      |      0.05      |      2.3582      |
|      16000      |      3      |      0.1       |      1.5048      |
|      16000      |      3      |      0.15      |      0.463       |
|      16000      |      3      |      0.2       |      0.1462      |
|      16000      |      3      |      0.25      |      0.1116      |
|      16000      |      3      |      0.3       |      0.0551      |
|      16000      |      3      |      0.35      |      0.0449      |
|      16000      |      3      |      0.4       |      0.0199      |
|      16000      |      3      |      0.45      |      0.0128      |
|      16000      |      3      |      0.5       |      0.0116      |
|      16000      |      3      |      0.55      |      0.0069      |
|      16000      |      3      |      0.6       |      0.0065      |
|      16000      |      3      |      0.65      |      0.0051      |
|      16000      |      3      |      0.7       |      0.0051      |
|      16000      |      3      |      0.75      |      0.0053      |
|      16000      |      3      |      0.8       |      0.0037      |
|      16000      |      3      |      0.85      |      0.0027      |
|      16000      |      3      |      0.9       |      0.0025      |
|      16000      |      3      |      0.95      |      0.0016      |
|      16000      |      4      |      0.05      |      1.4444      |
|      16000      |      4      |      0.1       |      0.1908      |
|      16000      |      4      |      0.15      |      0.0275      |
|      16000      |      4      |      0.2       |      0.0057      |
|      16000      |      4      |      0.25      |      0.0016      |
|      16000      |      4      |      0.3       |      0.0006      |
